id,dur,proto,state,spkts,dpkts,sbytes,dbytes,rate,attack_cat,label
1,0.000011,udp,INT,2,0,496,0,90909.0902,Normal,0
2,0.000008,udp,INT,2,0,1762,0,125000.0003,Normal,0
3,0.000005,udp,INT,2,0,1068,0,200000.0051,Normal,0
4,0.000006,udp,INT,2,0,900,0,166666.6608,Normal,0
5,0.00001,udp,INT,2,0,2126,0,100000.0025,Normal,0
6,0.000003,udp,INT,2,0,784,0,333333.3215,Normal,0
7,0.000006,udp,INT,2,0,1960,0,166666.6608,Normal,0
8,0.000028,udp,INT,2,0,1384,0,35714.28522,Normal,0
9,0,arp,INT,1,0,46,0,0,Normal,0
10,0,arp,INT,1,0,46,0,0,Normal,0
11,0,arp,INT,1,0,46,0,0,Normal,0
12,0,arp,INT,1,0,46,0,0,Normal,0
13,0.000004,udp,INT,2,0,1454,0,250000.0006,Normal,0
14,0.000007,udp,INT,2,0,2062,0,142857.1409,Normal,0
15,0.000011,udp,INT,2,0,2040,0,90909.0902,Normal,0
16,0.000004,udp,INT,2,0,1052,0,250000.0006,Normal,0
17,0.000003,udp,INT,2,0,314,0,333333.3215,Normal,0
18,0.00001,udp,INT,2,0,1774,0,100000.0025,Normal,0
19,0.000002,udp,INT,2,0,1568,0,500000.0013,Normal,0
20,0.000004,udp,INT,2,0,2054,0,250000.0006,Normal,0
21,0.00001,udp,INT,2,0,2170,0,100000.0025,Normal,0
22,0.000009,udp,INT,2,0,202,0,111111.1072,Normal,0
23,0.00001,udp,INT,2,0,1334,0,100000.0025,Normal,0
24,0.000005,udp,INT,2,0,2058,0,200000.0051,Normal,0
25,0.000003,udp,INT,2,0,286,0,333333.3215,Normal,0
26,0.000007,udp,INT,2,0,1500,0,142857.1409,Normal,0
27,0.000006,udp,INT,2,0,902,0,166666.6608,Normal,0
28,0.000002,udp,INT,2,0,1626,0,500000.0013,Normal,0
29,0.000007,udp,INT,2,0,364,0,142857.1409,Normal,0
30,1.434166,tcp,FIN,10,6,530,268,10.459041,Normal,0
31,0.000007,udp,INT,2,0,730,0,142857.1409,Normal,0
32,1.924287,tcp,FIN,10,8,530,354,8.834441,Normal,0
33,2.773779,tcp,FIN,14,8,7954,354,7.570899,Normal,0
34,0.00001,udp,INT,2,0,794,0,100000.0025,Normal,0
35,1.465041,tcp,FIN,10,8,2516,354,11.60377,Normal,0
36,0.983874,tcp,FIN,10,8,816,1172,17.278635,Normal,0
37,0.714182,tcp,FIN,10,6,534,268,21.003049,Normal,0
38,59.995674,arp,INT,2,0,92,0,0.016668,Normal,0
39,59.995678,arp,INT,2,0,92,0,0.016668,Normal,0
40,59.995674,arp,INT,2,0,92,0,0.016668,Normal,0
41,1.535254,tcp,FIN,10,10,826,1266,12.375802,Normal,0
42,59.995678,arp,INT,2,0,92,0,0.016668,Normal,0
43,0.757295,tcp,FIN,10,6,534,268,19.80734,Normal,0
44,0.759306,tcp,FIN,10,8,534,354,22.388865,Normal,0
45,1.294036,tcp,FIN,10,8,2516,354,13.137192,Normal,0
46,1.059359,tcp,FIN,10,8,830,1134,16.047441,Normal,0
47,0.624048,tcp,FIN,10,6,534,268,24.036613,Normal,0
48,1.190292,tcp,FIN,10,8,2516,354,14.28221,Normal,0
49,0.999472,tcp,FIN,10,6,534,268,15.007924,Normal,0
50,0.990548,tcp,FIN,10,10,804,1414,19.181301,Normal,0
51,0.655618,tcp,FIN,10,6,534,268,22.879176,Normal,0
52,0.810167,tcp,FIN,10,8,2516,354,20.983328,Normal,0
53,14.846565,tcp,REQ,22,0,990,0,1.414469,Normal,0
54,14.846565,tcp,REQ,22,0,990,0,1.414469,Normal,0
55,14.846565,tcp,REQ,22,0,990,0,1.414469,Normal,0
56,1.588788,tcp,FIN,10,6,534,268,9.441159,Normal,0
57,1.151373,tcp,FIN,10,8,2516,354,14.76498,Normal,0
58,14.355273,tcp,REQ,20,0,900,0,1.323555,Normal,0
59,14.355273,tcp,REQ,20,0,900,0,1.323555,Normal,0
60,14.355273,tcp,REQ,20,0,900,0,1.323555,Normal,0
61,15.53235,tcp,REQ,20,0,900,0,1.223253,Normal,0
